date,temp_max,temp_min,precipitation,rain,weather_code
2020-11-08,23.4,12.6,0.2,0.2,51
2020-11-09,22.2,16.4,0.1,0.1,51
2020-11-10,22.8,18.4,2.7,2.7,61
2020-11-11,18.4,1.4,4.9,4.9,63
2020-11-12,10.9,0.8,0.0,0.0,3
2020-11-13,7.7,1.2,0.9,0.9,51
2020-11-14,8.9,-2.2,0.0,0.0,3
2020-11-15,12.3,4.7,8.1,8.1,61
2020-11-16,7.8,-0.6,0.8,0.8,53
2020-11-17,6.2,-1.6,0.0,0.0,3
2020-11-18,9.4,-1.9,0.0,0.0,3
2020-11-19,17.1,6.2,0.0,0.0,3
2020-11-20,14.9,10.1,0.0,0.0,3
2020-11-21,10.2,3.5,0.0,0.0,3
2020-11-22,7.2,3.9,3.5,3.5,53
2020-11-23,6.4,2.1,0.0,0.0,3
2020-11-24,5.4,1.6,10.3,8.7,73
2020-11-25,7.9,5.5,10.6,10.6,61
2020-11-26,8.5,5.0,1.4,1.4,53
2020-11-27,7.6,2.4,0.0,0.0,3
2020-11-28,9.2,-2.5,0.0,0.0,0
2020-11-29,9.3,2.5,0.0,0.0,3
2020-11-30,6.2,-0.8,0.8,0.0,71
2020-12-01,1.0,-3.9,0.2,0.0,71
2020-12-02,7.4,-4.2,0.0,0.0,3
2020-12-03,6.7,-2.1,0.0,0.0,3
2020-12-04,6.8,0.1,0.0,0.0,2
2020-12-05,3.4,1.2,0.0,0.0,3
2020-12-06,2.2,0.9,0.1,0.1,51
2020-12-07,2.4,0.1,0.0,0.0,3
2020-12-08,3.2,-0.4,0.0,0.0,3
2020-12-09,10.2,0.1,0.0,0.0,3
2020-12-10,10.9,-0.6,0.0,0.0,3
2020-12-11,6.9,1.2,2.5,2.5,53
2020-12-12,5.1,3.0,32.8,32.8,63
2020-12-13,2.3,-2.6,0.5,0.1,71
2020-12-14,0.2,-4.5,0.0,0.0,3
2020-12-15,-0.1,-5.3,0.0,0.0,3
2020-12-16,0.5,-2.0,0.4,0.0,71
2020-12-17,1.3,-0.2,0.5,0.0,71
2020-12-18,2.8,-4.6,0.0,0.0,3
2020-12-19,7.9,-0.3,0.0,0.0,3
2020-12-20,4.2,0.2,0.0,0.0,3
2020-12-21,7.6,-0.5,0.2,0.2,51
2020-12-22,5.0,-0.9,0.1,0.1,51
2020-12-23,11.7,2.7,2.6,2.6,55
2020-12-24,10.2,-10.1,3.1,3.1,61
2020-12-25,-5.4,-12.6,0.3,0.0,71
2020-12-26,1.3,-7.7,0.0,0.0,3
2020-12-27,7.5,-4.5,0.0,0.0,3
2020-12-28,4.8,-2.8,0.2,0.2,51
2020-12-29,-0.4,-8.3,0.5,0.0,73
2020-12-30,2.2,-2.2,12.8,9.6,75
2020-12-31,-1.0,-7.2,0.0,0.0,3
